name,offset,type,alias,gain ,unit
177_MBD1_max._current_L3,696,Real,,,
178_MBD1_power_L1,700,Real,,,
179_MBD1_power_L2,704,Real,,,
180_MBD1_power_L3,708,Real,,,
181_MBD1_total_active_power,712,Real,,,
182_MBD1_total_apparent_power,716,Real,,,
183_MBD1_total_reactive_power,720,Real,,,
184_MBD1_total_active_power_max.,724,Real,,,
185_MBD1_total_apparent_power_max.,728,Real,,,
186_MBD1_total_reactive_power_max.,732,Real,,,
187_MBD1_total_power_factor,736,Real,,,
188_MBD1_frequency,740,Real,,,
189_MBD1_min.frequency,744,Real,,,
190_MBD1_max._frequency,748,Real,,,
191_MBD1_active_energy_import,752,Real,,,
192_MBD1_apparent_energy_import,756,Real,,,
193_MBD1_reactive_energy_import,760,Real,,,
194_MBD1_active_power_demand,764,Real,,,
195_MBD1_reactive__power_demand,768,Real,,,
196_Line_efficiency/time_line_running,772,Real,,,
197_Line_efficiency/time_line_stopped,776,Real,,,
198_Line_efficiency/time_good_product,780,Real,,,
199_Energy_efficiency/Actual_reel,784,Real,,,
200_Energy_efficiency/Actual_power,788,Real,,,
201_Reserve,792,Real,,,
202_Reserve,796,Real,,,
203_Reserve,800,Real,,,
204_Reserve,804,Real,,,
Element_1,808,Real,,,
Element_2,812,Real,,,
Element_3,816,Real,,,
Element_4,820,Real,,,
Element_5,824,Real,,,
Element_6,828,Real,,,
Element_7,832,Real,,,
Element_8,836,Real,,,
Element_9,840,Real,,,
Element_10,844,Real,,,
Element_11,848,Real,,,
Element_12,852,Real,,,
Element_13,856,Real,,,
Element_14,860,Real,,,
Element_15,864,Real,,,
Element_16,868,Real,,,
Element_17,872,Real,,,
Element_18,876,Real,,,
WatchDog,880,Bool,,,
Element_20,880.1,Bool,,,
Element_21,880.2,Bool,,,
Element_22,880.3,Bool,,,
Element_23,880.4,Bool,,,
Element_24,880.5,Bool,,,
Element_25,880.6,Bool,,,
Element_26,880.7,Bool,,,
Element_27,881,Bool,,,
Element_28,881.1,Bool,,,
Element_29,881.2,Bool,,,
Element_30,881.3,Bool,,,
Element_31,881.4,Bool,,,
Element_32,881.5,Bool,,,
Element_33,881.6,Bool,,,
Element_34,881.7,Bool,,,
Element_35,882,Bool,,,
Element_36,882.1,Bool,,,
Element_37,882.2,Bool,,,
Element_38,882.3,Bool,,,
Element_39,882.4,Bool,,,
Element_40,882.5,Bool,,,
Element_41,882.6,Bool,,,
Element_42,882.7,Bool,,,
Element_43,883,Bool,,,
Element_44,883.1,Bool,,,
Element_45,883.2,Bool,,,
Element_46,883.3,Bool,,,
Element_47,883.4,Bool,,,
Element_48,883.5,Bool,,,
Element_49,883.6,Bool,,,
Element_50,883.7,Bool,,,
005_Reciepe_file_name,884,String[50],,,
010_operator_name,936,String[50],,,
134_TUP2_reel_name,988,String[50],,,
140_TUP1_reel_name,1040,String[50],,,
Reserve_1,1092,String[50],,,
Reserve_2,1144,String[50],,,
Reserve_3,1196,String[50],,,
Reserve_4,1248,String[50],,,
